Date,User ID,Registration Source,Subscription Status,Subscription Start Date,Subscription End Date,Number of Active Widgets,Number of Widget Interactions,Time Spent on Platform,Location
2023-04-03,U00115,PPC,Free Trial,2023-04-17,,7,217,427,Brazil
2023-05-02,U00116,Social Media,Monthly,2023-05-12,,2,942,348,India
2023-07-05,U00117,Social Media,Monthly,2023-07-11,,8,3600,298,India
2023-04-23,U00118,Organic,Monthly,2023-04-27,,7,644,329,France
2023-11-12,U00119,Social Media,Annual,2023-11-25,,9,3852,1938,Germany
2023-03-24,U00120,PPC,Free Trial,2023-03-29,,6,2886,281,UK
2023-02-17,U00121,Social Media,Monthly,2023-02-25,,4,972,187,France
2023-04-12,U00122,Social Media,Inactive,2023-04-13,2023-05-05,0,0,123,France
2023-09-11,U00123,Organic,Free Trial,2023-09-24,,4,1852,416,India
2023-08-05,U00124,Organic,Monthly,2023-08-11,,7,1379,35,India
2023-03-17,U00125,Organic,Inactive,2023-03-29,2023-04-27,0,0,246,France
2023-11-17,U00126,PPC,Monthly,2023-11-22,,3,804,319,India
2023-09-29,U00127,Social Media,Monthly,2023-09-30,,3,513,181,Germany
2023-11-19,U00128,Social Media,Free Trial,2023-11-24,,2,620,242,UK
2023-05-08,U00129,Organic,Monthly,2023-05-09,,1,315,46,UK
2023-01-09,U00130,PPC,Inactive,2023-01-23,2023-02-24,0,0,274,UK
2023-08-08,U00131,PPC,Monthly,2023-08-21,,3,840,487,France
2023-02-17,U00132,Organic,Monthly,2023-02-21,,7,3010,22,Brazil
2023-08-26,U00133,Organic,Free Trial,2023-08-28,,9,1368,325,France
2023-05-08,U00134,Organic,Free Trial,2023-05-13,,2,394,115,France
2023-07-11,U00135,Referral,Inactive,2023-07-13,2023-09-03,0,0,135,Germany
2023-01-08,U00136,Organic,Monthly,2023-01-14,,1,350,345,UK
2023-08-26,U00137,PPC,Monthly,2023-08-27,,2,914,393,India
2023-12-07,U00138,Social Media,Free Trial,2023-12-21,,6,2844,139,India
2023-08-09,U00139,Organic,Monthly,2023-08-11,,5,2455,488,USA
2023-06-19,U00140,Referral,Inactive,2023-06-29,2023-07-27,0,0,325,USA
2023-04-28,U00141,Referral,Monthly,2023-05-03,,2,752,265,Brazil
2023-07-19,U00142,Organic,Free Trial,2023-07-26,,1,189,450,India
2023-10-09,U00143,PPC,Monthly,2023-10-20,,7,224,124,UK
2023-10-05,U00144,Organic,Annual,2023-10-08,,6,2184,1677,France
2023-12-11,U00145,Organic,Monthly,2023-12-20,,8,368,412,India
2023-12-23,U00146,Organic,Inactive,2024-01-02,2024-01-25,0,0,133,Brazil
2023-09-13,U00147,PPC,Monthly,2023-09-16,,2,612,265,Brazil
2023-10-16,U00148,PPC,Inactive,2023-10-29,2023-12-14,0,0,148,India
2023-12-31,U00149,Organic,Monthly,2024-01-04,,6,1932,215,USA
2023-11-12,U00150,Organic,Free Trial,2023-11-13,,9,954,56,UK
2023-05-31,U00151,Referral,Monthly,2023-06-09,,7,2030,226,India
2023-10-17,U00152,Organic,Free Trial,2023-10-24,,2,238,328,France
2023-08-01,U00153,Organic,Inactive,2023-08-05,2023-09-04,0,0,400,France
2023-05-05,U00154,PPC,Annual,2023-05-06,,9,441,1652,Germany
2023-01-26,U00155,Referral,Monthly,2023-02-09,,7,658,359,France
2023-10-12,U00156,Organic,Monthly,2023-10-24,,4,1244,132,India
2023-01-01,U00157,PPC,Free Trial,2023-01-03,,9,1773,40,India
2023-06-30,U00158,Social Media,Annual,2023-07-09,,4,996,1429,France
2023-04-11,U00159,Organic,Monthly,2023-04-16,,4,1468,64,USA
2023-04-11,U00160,Social Media,Free Trial,2023-04-13,,9,4473,162,UK
2023-03-01,U00161,Organic,Monthly,2023-03-15,,8,2904,465,Brazil
2023-05-30,U00162,PPC,Free Trial,2023-06-09,,4,112,295,India
2023-08-22,U00163,PPC,Monthly,2023-09-02,,8,2848,45,France
2023-09-28,U00164,PPC,Monthly,2023-10-12,,8,3216,315,Brazil
2023-10-02,U00165,Organic,Free Trial,2023-10-04,,7,2338,407,France
2023-09-15,U00166,Social Media,Inactive,2023-09-29,2023-11-22,0,0,294,India
2023-12-08,U00167,Organic,Free Trial,2023-12-13,,8,3856,420,Germany
2023-08-12,U00168,Organic,Free Trial,2023-08-24,,7,2933,382,UK
2023-11-15,U00169,Organic,Free Trial,2023-11-25,,5,2060,265,India
2023-05-08,U00170,PPC,Annual,2023-05-18,,4,668,1553,Brazil
2023-12-07,U00171,PPC,Monthly,2023-12-15,,2,986,45,France
2023-01-29,U00172,Organic,Monthly,2023-02-01,,8,2504,263,Germany
2023-06-27,U00173,PPC,Free Trial,2023-07-06,,9,1089,171,India
2023-10-08,U00174,Organic,Free Trial,2023-10-10,,4,612,30,UK
2023-09-20,U00175,PPC,Monthly,2023-09-21,,4,1060,303,Germany
2023-01-11,U00176,Organic,Inactive,2023-01-16,2023-02-18,0,0,84,Brazil
2023-03-27,U00177,PPC,Inactive,2023-03-30,2023-05-25,0,0,490,France
2023-06-04,U00178,Organic,Free Trial,2023-06-13,,7,1351,216,USA
2023-09-01,U00179,Referral,Monthly,2023-09-02,,5,2070,469,UK
2023-01-16,U00180,Organic,Inactive,2023-01-19,2023-03-16,0,0,481,Germany
2023-04-15,U00181,Organic,Monthly,2023-04-29,,4,1576,187,India
2023-10-25,U00182,Organic,Inactive,2023-10-27,2023-12-10,0,0,391,India
2023-11-17,U00183,Referral,Free Trial,2023-11-30,,8,3904,46,Germany
2023-03-15,U00184,Social Media,Inactive,2023-03-19,2023-05-08,0,0,468,India
2023-11-10,U00185,Organic,Annual,2023-11-15,,6,1524,731,Germany
2023-11-29,U00186,PPC,Inactive,2023-12-05,2024-01-13,0,0,412,UK
2023-10-01,U00187,Social Media,Monthly,2023-10-09,,1,202,127,India
2023-09-14,U00188,PPC,Monthly,2023-09-16,,9,2943,10,UK
2023-03-17,U00189,PPC,Inactive,2023-03-23,2023-05-04,0,0,218,France
2023-07-21,U00190,Organic,Free Trial,2023-07-30,,3,48,433,France
2023-10-16,U00191,Organic,Monthly,2023-10-24,,4,580,320,France
2023-04-24,U00192,Social Media,Annual,2023-05-04,,7,196,1188,France
2023-03-10,U00193,Referral,Annual,2023-03-17,,2,820,857,India
2023-04-29,U00194,PPC,Inactive,2023-05-12,2023-07-04,0,0,259,Germany
2023-08-15,U00195,Organic,Free Trial,2023-08-23,,6,2256,180,India
2023-02-21,U00196,Organic,Annual,2023-02-26,,8,3984,1297,Brazil
2023-03-23,U00197,Social Media,Annual,2023-04-03,,1,186,521,India
2023-12-31,U00198,Social Media,Free Trial,2024-01-01,,4,80,116,UK
2023-12-19,U00199,Social Media,Monthly,2023-12-28,,1,495,152,Germany
2023-02-07,U00200,Social Media,Free Trial,2023-02-20,,2,100,17,USA
2023-04-16,U00201,PPC,Monthly,2023-04-19,,8,3640,103,USA
2023-04-26,U00202,Organic,Inactive,2023-05-03,2023-06-24,0,0,407,Germany
2023-02-10,U00203,Organic,Monthly,2023-02-11,,9,1701,106,USA
2023-03-17,U00204,Social Media,Annual,2023-03-23,,2,406,1178,Germany
2023-12-18,U00205,PPC,Inactive,2023-12-23,2024-02-19,0,0,16,UK
2023-06-24,U00206,Organic,Monthly,2023-07-05,,9,3213,283,UK
2023-04-11,U00207,Organic,Inactive,2023-04-18,2023-05-08,0,0,21,India
2023-10-30,U00208,PPC,Monthly,2023-10-31,,6,2040,11,USA
2023-05-05,U00209,Organic,Inactive,2023-05-11,2023-06-02,0,0,443,Germany
2023-10-10,U00210,Organic,Free Trial,2023-10-19,,5,2165,358,UK
2023-08-06,U00211,PPC,Inactive,2023-08-17,2023-10-05,0,0,414,India
2023-03-20,U00212,PPC,Free Trial,2023-03-27,,7,875,16,USA
2023-11-02,U00213,PPC,Monthly,2023-11-14,,8,3824,484,USA
2023-05-27,U00214,Organic,Annual,2023-06-05,,6,954,717,USA
2023-10-19,U00215,Social Media,Monthly,2023-10-29,,8,1016,349,UK
2023-07-16,U00216,Organic,Monthly,2023-07-17,,2,348,66,UK
2023-12-31,U00217,Organic,Monthly,2024-01-06,,3,783,87,USA
2023-12-09,U00218,Social Media,Annual,2023-12-18,,7,1932,1733,UK
2023-02-08,U00219,PPC,Free Trial,2023-02-20,,1,53,242,USA
2023-04-21,U00220,Social Media,Free Trial,2023-04-23,,7,3353,288,France
2023-09-25,U00221,PPC,Free Trial,2023-10-06,,6,2988,39,UK
2023-12-05,U00222,PPC,Monthly,2023-12-08,,8,1520,376,Germany
2023-04-26,U00223,Organic,Free Trial,2023-05-05,,7,602,323,UK
2023-10-19,U00224,Organic,Monthly,2023-10-25,,4,1532,104,USA
2023-03-25,U00225,Organic,Monthly,2023-04-04,,3,375,317,Germany
2023-04-13,U00226,Organic,Free Trial,2023-04-18,,3,1362,65,India
2023-12-26,U00227,Referral,Monthly,2024-01-07,,4,304,19,Germany
2023-09-02,U00228,Organic,Inactive,2023-09-16,2023-11-04,0,0,412,Germany
2023-10-07,U00229,Social Media,Free Trial,2023-10-14,,9,909,156,UK
2023-03-08,U00230,PPC,Monthly,2023-03-20,,2,510,373,Brazil
2023-07-02,U00231,Social Media,Monthly,2023-07-09,,5,1380,96,Germany
2023-05-05,U00232,PPC,Monthly,2023-05-13,,1,148,262,Germany
2023-09-29,U00233,PPC,Annual,2023-10-06,,4,1400,682,USA
2023-04-13,U00234,PPC,Monthly,2023-04-18,,2,506,437,UK
2023-12-23,U00235,Organic,Monthly,2024-01-02,,8,2800,242,USA
2023-09-21,U00236,Social Media,Free Trial,2023-09-22,,4,1600,262,UK
2023-07-23,U00237,Organic,Monthly,2023-08-06,,5,1410,452,India
2023-03-17,U00238,Organic,Monthly,2023-03-22,,4,1252,233,Brazil
2023-07-17,U00239,PPC,Free Trial,2023-07-27,,5,2035,349,Germany
2023-10-03,U00240,Organic,Monthly,2023-10-11,,5,1000,13,UK
2023-03-10,U00241,Referral,Inactive,2023-03-20,2023-04-04,0,0,362,Germany
2023-07-08,U00242,Referral,Monthly,2023-07-17,,3,318,121,Germany
2023-02-28,U00243,Referral,Monthly,2023-03-03,,7,2380,202,France
2023-10-06,U00244,Organic,Inactive,2023-10-12,2023-12-01,0,0,150,USA
2023-01-26,U00245,Organic,Annual,2023-02-09,,2,916,1269,Brazil
2023-07-14,U00246,Referral,Monthly,2023-07-16,,3,1281,149,UK
2023-07-18,U00247,PPC,Annual,2023-07-28,,3,438,653,India
2023-05-08,U00248,Referral,Inactive,2023-05-14,2023-06-16,0,0,448,Brazil
2023-09-04,U00249,Referral,Monthly,2023-09-10,,4,1572,454,France
2023-09-28,U00250,Social Media,Monthly,2023-10-11,,3,138,104,USA
2023-12-15,U00251,Organic,Monthly,2023-12-20,,5,1475,50,India
2023-04-03,U00252,Organic,Inactive,2023-04-08,2023-05-10,0,0,429,India
2023-09-30,U00253,Social Media,Monthly,2023-10-01,,9,3942,11,Germany
2023-09-11,U00254,Organic,Free Trial,2023-09-16,,8,3952,287,USA
2023-11-07,U00255,Organic,Inactive,2023-11-10,2023-12-12,0,0,159,France
2023-01-01,U00256,PPC,Monthly,2023-01-06,,8,1152,50,UK
2023-12-03,U00257,Referral,Free Trial,2023-12-08,,5,755,360,UK
2023-06-08,U00258,PPC,Monthly,2023-06-11,,4,1052,125,France
2023-09-19,U00259,PPC,Monthly,2023-10-01,,7,399,129,Germany
2023-06-02,U00260,Organic,Inactive,2023-06-12,2023-07-05,0,0,246,Germany
2023-07-12,U00261,PPC,Free Trial,2023-07-13,,6,858,279,India
2023-09-05,U00262,Referral,Inactive,2023-09-15,2023-11-11,0,0,358,USA
2023-06-15,U00263,Organic,Monthly,2023-06-23,,7,1519,300,India
2023-09-18,U00264,PPC,Free Trial,2023-09-26,,2,220,443,UK
2023-09-16,U00265,Social Media,Inactive,2023-09-19,2023-11-07,0,0,18,France
2023-09-24,U00266,Social Media,Monthly,2023-10-08,,6,330,248,USA
2023-11-10,U00267,PPC,Free Trial,2023-11-22,,5,2260,127,France
2023-07-26,U00268,Social Media,Monthly,2023-08-03,,4,316,361,USA
2023-04-06,U00269,Organic,Inactive,2023-04-10,2023-06-02,0,0,324,Brazil
2023-11-27,U00270,Organic,Monthly,2023-11-28,,2,578,321,UK
2023-01-09,U00271,Social Media,Free Trial,2023-01-16,,7,532,484,UK
2023-06-12,U00272,Social Media,Free Trial,2023-06-13,,3,39,19,Brazil
2023-12-08,U00273,Social Media,Free Trial,2023-12-09,,5,1165,34,USA
2023-10-12,U00274,Referral,Annual,2023-10-15,,8,80,1089,Germany
2023-06-26,U00275,PPC,Monthly,2023-06-30,,8,2392,234,USA
2023-04-09,U00276,PPC,Free Trial,2023-04-18,,6,708,20,UK
2023-06-05,U00277,Social Media,Free Trial,2023-06-13,,5,1370,110,France
2023-07-27,U00278,PPC,Monthly,2023-07-30,,2,144,274,India
2023-02-03,U00279,Social Media,Inactive,2023-02-14,2023-04-04,0,0,400,France
2023-09-14,U00280,Social Media,Monthly,2023-09-27,,1,275,336,UK
2023-10-18,U00281,Social Media,Inactive,2023-11-01,2023-11-20,0,0,427,France
2023-11-04,U00282,Organic,Monthly,2023-11-17,,1,443,92,Germany
2023-02-20,U00283,Organic,Free Trial,2023-02-26,,4,212,285,Germany
2023-05-22,U00284,Organic,Inactive,2023-05-31,2023-07-11,0,0,379,USA
2023-07-03,U00285,PPC,Monthly,2023-07-08,,5,2205,499,France
2023-12-22,U00286,Organic,Annual,2023-12-24,,5,2400,1009,France
2023-12-13,U00287,PPC,Inactive,2023-12-26,2024-01-10,0,0,270,UK
2023-06-26,U00288,PPC,Free Trial,2023-07-02,,3,675,377,USA
2023-09-10,U00289,Organic,Free Trial,2023-09-12,,6,780,230,USA
2023-02-24,U00290,PPC,Annual,2023-03-08,,3,483,1655,France
2023-03-12,U00291,Organic,Free Trial,2023-03-26,,2,444,228,India
2023-12-15,U00292,Organic,Free Trial,2023-12-24,,8,1944,98,France
2023-05-23,U00293,Social Media,Free Trial,2023-06-06,,1,360,494,France
2023-12-17,U00294,Organic,Free Trial,2023-12-28,,9,1080,24,France
2023-05-07,U00295,Organic,Annual,2023-05-15,,7,3157,1185,Germany
2023-03-10,U00296,PPC,Free Trial,2023-03-11,,4,1480,185,Brazil
2023-01-20,U00297,Social Media,Monthly,2023-01-24,,3,987,13,USA
2023-03-24,U00298,Organic,Monthly,2023-03-31,,6,1386,343,Brazil
2023-02-12,U00299,PPC,Monthly,2023-02-22,,9,4041,385,Germany
2023-10-05,U00300,Organic,Free Trial,2023-10-07,,9,2115,378,India
2023-11-16,U00301,Organic,Annual,2023-11-21,,4,876,1782,UK
2023-07-15,U00302,PPC,Free Trial,2023-07-18,,5,2025,30,India
2023-02-20,U00303,PPC,Annual,2023-03-04,,9,3852,1421,USA
2023-02-11,U00304,PPC,Inactive,2023-02-20,2023-04-05,0,0,483,UK
2023-01-04,U00305,Social Media,Monthly,2023-01-10,,2,996,146,Brazil
2023-12-25,U00306,Referral,Monthly,2024-01-06,,5,1845,331,India
2023-03-06,U00307,PPC,Monthly,2023-03-08,,1,98,372,USA
2023-01-23,U00308,Organic,Monthly,2023-01-24,,8,2168,472,India
2023-01-25,U00309,Social Media,Inactive,2023-02-01,2023-03-19,0,0,428,UK
2023-12-10,U00310,Organic,Inactive,2023-12-19,2024-02-02,0,0,225,UK
2023-07-08,U00311,PPC,Monthly,2023-07-16,,9,4257,377,India
2023-06-13,U00312,Organic,Monthly,2023-06-24,,2,394,126,Germany
2023-07-16,U00313,Organic,Inactive,2023-07-25,2023-09-06,0,0,188,India
2023-10-09,U00314,Referral,Inactive,2023-10-17,2023-12-08,0,0,255,Brazil
2023-12-30,U00315,Social Media,Monthly,2024-01-06,,6,2532,137,India
2023-11-24,U00316,PPC,Monthly,2023-12-03,,7,3017,367,India
2023-10-08,U00317,PPC,Free Trial,2023-10-16,,1,248,87,Germany
2023-04-13,U00318,Organic,Inactive,2023-04-19,2023-05-04,0,0,238,France
2023-06-21,U00319,Organic,Free Trial,2023-06-22,,7,1855,302,UK
2023-06-09,U00320,Organic,Monthly,2023-06-13,,1,159,271,Brazil
2023-07-16,U00321,PPC,Free Trial,2023-07-29,,1,136,91,USA
2023-07-22,U00322,Social Media,Free Trial,2023-07-24,,6,2406,351,UK
2023-08-21,U00323,PPC,Monthly,2023-08-26,,4,1312,347,UK
2023-09-20,U00324,Organic,Inactive,2023-10-01,2023-11-16,0,0,316,France
2023-04-12,U00325,Referral,Free Trial,2023-04-25,,5,2450,75,UK
2023-06-06,U00326,Social Media,Monthly,2023-06-11,,9,3654,105,UK
2023-01-08,U00327,PPC,Free Trial,2023-01-13,,3,1260,154,Germany
2023-10-26,U00328,PPC,Free Trial,2023-10-27,,5,2055,74,Germany
2023-12-03,U00329,PPC,Monthly,2023-12-15,,5,1415,18,Germany
2023-05-29,U00330,Organic,Monthly,2023-06-04,,9,3078,406,Germany
2023-06-15,U00331,Organic,Free Trial,2023-06-20,,4,1916,493,Germany
2023-06-15,U00332,Social Media,Monthly,2023-06-19,,1,455,366,Brazil
2023-12-26,U00333,Organic,Free Trial,2023-12-31,,5,2035,195,USA
2023-03-04,U00334,Organic,Monthly,2023-03-15,,1,148,167,France
2023-02-13,U00335,Organic,Inactive,2023-02-23,2023-03-24,0,0,40,India
2023-12-26,U00336,Organic,Inactive,2023-12-28,2024-01-22,0,0,160,Brazil
2023-12-05,U00337,Social Media,Monthly,2023-12-12,,1,126,328,Germany
2023-09-04,U00338,Social Media,Monthly,2023-09-09,,4,892,251,France
2023-03-25,U00339,PPC,Inactive,2023-03-29,2023-05-02,0,0,165,India
2023-10-24,U00340,Organic,Free Trial,2023-11-06,,1,26,68,UK
2023-08-13,U00341,PPC,Inactive,2023-08-21,2023-09-19,0,0,19,Brazil
2023-05-13,U00342,PPC,Inactive,2023-05-25,2023-06-30,0,0,354,UK
2023-02-07,U00343,Organic,Free Trial,2023-02-08,,5,1395,133,France
2023-12-22,U00344,PPC,Free Trial,2023-12-24,,6,2994,365,USA
2023-08-31,U00345,Organic,Inactive,2023-09-04,2023-10-20,0,0,355,USA
2023-05-27,U00346,PPC,Monthly,2023-06-09,,4,1432,291,France
2023-01-01,U00347,PPC,Free Trial,2023-01-09,,6,858,246,USA
2023-07-30,U00348,Organic,Free Trial,2023-08-03,,7,861,342,USA
2023-03-29,U00349,Organic,Monthly,2023-04-08,,6,2700,26,UK
2023-01-02,U00350,PPC,Monthly,2023-01-15,,6,846,433,USA
2023-03-14,U00351,PPC,Annual,2023-03-22,,2,296,1025,USA
2023-02-02,U00352,Social Media,Inactive,2023-02-08,2023-03-21,0,0,32,France
2023-02-28,U00353,PPC,Free Trial,2023-03-04,,3,723,428,USA
2023-04-04,U00354,Organic,Monthly,2023-04-10,,7,3269,468,Brazil
